PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,brca1-p1_activity-Activity_Score,brca1-p1_activity-Curve_Description,brca1-p1_activity-Fit_LogAC50,brca1-p1_activity-Fit_HillSlope,brca1-p1_activity-Fit_R2,brca1-p1_activity-Fit_InfiniteActivity,brca1-p1_activity-Fit_ZeroActivity,brca1-p1_activity-Fit_CurveClass,brca1-p1_activity-Excluded_Points,brca1-p1_activity-Max_Response,brca1-p1_activity-Activity at 0.092 uM,brca1-p1_activity-Activity at 0.184 uM,brca1-p1_activity-Activity at 0.258 uM,brca1-p1_activity-Activity at 0.337 uM,brca1-p1_activity-Activity at 0.369 uM,brca1-p1_activity-Activity at 0.517 uM,brca1-p1_activity-Activity at 0.737 uM,brca1-p1_activity-Activity at 0.922 uM,brca1-p1_activity-Activity at 1.290 uM,brca1-p1_activity-Activity at 1.840 uM,brca1-p1_activity-Activity at 2.115 uM,brca1-p1_activity-Activity at 2.587 uM,brca1-p1_activity-Activity at 3.690 uM,brca1-p1_activity-Activity at 4.610 uM,brca1-p1_activity-Activity at 6.450 uM,brca1-p1_activity-Activity at 9.218 uM,brca1-p1_activity-Activity at 12.69 uM,brca1-p1_activity-Activity at 18.70 uM,brca1-p1_activity-Activity at 36.87 uM,brca1-p1_activity-Activity at 46.10 uM,brca1-p1_activity-Activity at 64.71 uM,brca1-p1_activity-Activity at 92.20 uM,Compound QC
3353,49737674,24794306,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001125289-01/146377396,,Activator,8.9125,119.801,,43,Partial curve; high efficacy,-5.05,2.3332,0.9993,118.493,-1.3075,2.1,0 0 0 0,116.857,,,,,-0.1148,,,,,1.9508,,,,,,58.9094,,,,116.857,,,QC'd by ChemBridge
3354,49815733,24767053,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000881470-01/146306256,,Activator,8.9125,264.861,,47,Partial curve; high efficacy,-5.05,1.1,0.9999,258.164,-6.6967,2.1,0 0 0 0,220.653,,,,,-0.0627,,,,,34.0518,,,,,,127.094,,,,220.653,,,QC'd by Paul R Hanson - Univ. of Kansas - MLI PSL
3355,49815834,768717,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000936891-01/146331802,,Activator,10,136.221,,43,Partial curve; high efficacy,-5,3.9295,1,137.584,1.3636,2.1,0 0 0 0,137.31,,,,,0.9506,,,,,1.9469,,,,,,58.9085,,,,137.31,,,QC'd by Chem Div
3356,49815835,17253076,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS000936908-01/146534903,,Activator,10,126.566,,43,Partial curve; high efficacy,-5,1.01,0.9999,121.947,-4.6185,2.1,0 0 0 0,99.6299,,,,,-0.1196,,,,,13.9881,,,,,,56.2742,,,,99.6299,,,QC'd by Chem Div
3357,49815977,1506386,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001034211-01/146378821,,Activator,11.2202,153.915,,43,Partial curve; high efficacy,-4.95,4.9549,0.9995,152.792,-1.1235,2.1,0 0 0 0,153.405,,,,,0.2503,,,,,-0.9362,,,,,,38.8684,,,,153.405,,,QC'd by ChemBridge
3358,49816332,9586747,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001034524-01/146495517,,Activator,8.9125,124.746,,43,Partial curve; high efficacy,-5.05,1.3443,0.9999,125.301,0.5549,2.1,0 0 0 0,112.884,,,,,1.8942,,,,,13.9287,,,,,,64.9909,,,,112.884,,,QC'd by ChemBridge
3359,49816373,18160210,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001031792-01/146402968,,Activator,8.9125,125.443,,43,Partial curve; high efficacy,-5.05,2.2526,0.9999,121.906,-3.5375,2.1,0 0 0 0,119.515,,,,,-2.9479,,,,,-0.3274,,,,,,61.0972,,,,119.515,,,QC'd by UrkORgSynthesis Ltd
3360,49816445,2223231,Active,93,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001034127-01/146494298,,Activator,2.8184,268.799,,93,Complete curve; high efficacy,-5.55,1.1341,0.9997,245.184,-23.6149,1.1,0 0 0 0,236.208,,,,,0.0588,,,,,80.3681,,,,,,187.293,,,,236.208,,,QC'd by ChemBridge
3361,49816506,2973033,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001035570-01/146495098,,Activator,8.9125,131.694,,44,Partial curve; high efficacy,-5.05,2.2526,0.9986,138.018,6.3248,2.1,0 0 0 0,133.739,,,,,7.2427,,,,,7.2986,,,,,,77.172,,,,133.739,,,QC'd by ChemBridge
3362,49816526,2225277,Active,89,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001035662-01/146402513,,Activator,3.1623,174.08,,89,Complete curve; high efficacy,-5.5,4.9549,0.999,181.132,7.0515,1.1,0 0 0 0,177.664,,,,,7.7898,,,,,18.2139,,,,,,184.077,,,,177.664,,,QC'd by ChemBridge
3363,49816530,2970928,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001035667-01/146494996,,Activator,10,105.832,,43,Partial curve; high efficacy,-5,3.5117,0.9986,107.956,2.1239,2.1,0 0 0 0,107.74,,,,,4.2549,,,,,-0.0262,,,,,,47.3264,,,,107.74,,,QC'd by ChemBridge
3364,49816636,880333,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001035353-01/146342992,,Activator,11.2202,202.661,,45,Partial curve; high efficacy,-4.95,1.6436,0.9999,201.282,-1.3792,2.1,0 0 0 0,183.317,,,,,-1.1494,,,,,9.4587,,,,,,82.4329,,,,183.317,,,QC'd by ChemBridge
3365,49816937,7948483,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001071948-01/146477047,,Activator,12.5893,143.706,,43,Partial curve; high efficacy,-4.9,4.095,0.9992,145.861,2.155,2.1,0 0 0 0,144.704,,,,,-0.6263,,,,,3.6992,,,,,,34.1195,,,,144.704,,,QC'd by ChemBridge
3366,49816947,24816643,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001072185-01/146290464,,Activator,8.9125,138.916,,44,Partial curve; high efficacy,-5.05,1.9673,0.9995,141.549,2.6334,2.1,0 0 0 0,136.367,,,,,4.6952,,,,,7.0068,,,,,,73.9192,,,,136.367,,,QC'd by ChemBridge
3367,49816959,24816655,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001072213-01/146539489,,Activator,5.6234,189.954,,47,Partial curve; high efficacy,-5.25,1.9887,0.9995,198.434,8.4799,2.1,0 0 0 0,195.694,,,,,7.253,,,,,29.8738,,,,,,146.059,,,,195.694,,,QC'd by ChemBridge
3368,49817054,6470985,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001071975-01/146347278,,Activator,12.5893,166.737,,43,Partial curve; high efficacy,-4.9,1.01,0.9992,160.479,-6.2574,2.1,0 0 0 0,127.365,,,,,-3.0411,,,,,15.6512,,,,,,64.0035,,,,127.365,,,QC'd by ChemBridge
3369,49817269,9557779,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001075076-01/146344859,,Activator,7.0795,132.12,,43,Partial curve; high efficacy,-5.15,1.7885,0.9996,88.1991,-43.9209,2.1,0 0 0 0,84.488,,,,,-42.4172,,,,,-32.9941,,,,,,35.61,,,,84.488,,,QC'd by InterBioScreen
3370,49817371,5597903,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001075301-01/146595599,,Activator,12.5893,113.505,,42,Partial curve; high efficacy,-4.9,1.5936,0.9995,115.538,2.0327,2.1,0 0 0 0,102.975,,,,,1.3378,,,,,8.2766,,,,,,44.4171,,,,102.975,,,QC'd by InterBioScreen
3371,49817898,24817023,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001083289-01/146595548,,Activator,7.9433,250.591,,47,Partial curve; high efficacy,-5.1,1.21,0.9999,248.414,-2.1773,2.1,0 0 0 0,222.593,,,,,4.866,,,,,33.7091,,,,,,133.498,,,,222.593,,,QC'd by ChemBridge
3372,49818070,24817144,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001090415-01/146593561,,Activator,7.0795,257.493,,48,Partial curve; high efficacy,-5.15,1.2221,0.9999,249.941,-7.552,2.1,0 0 0 0,227.633,,,,,-0.5878,,,,,33.5369,,,,,,140.72,,,,227.633,,,QC'd by ChemBridge
3373,49818071,24817145,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001090416-01/146593013,,Activator,3.1623,155.925,,87,Complete curve; high efficacy,-5.5,3.132,0.9999,146.744,-9.1805,1.1,0 0 0 0,147.333,,,,,-9.6122,,,,,15.5681,,,,,,140.843,,,,147.333,,,QC'd by ChemBridge
3374,49818145,24817219,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001090845-01/146595565,,Activator,11.2202,163.59,,44,Partial curve; high efficacy,-4.95,2.2481,0.9999,168.314,4.7242,2.1,0 0 0 0,161.221,,,,,3.748,,,,,8.2799,,,,,,68.7701,,,,161.221,,,QC'd by ChemBridge
3375,49818264,24817283,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001101029-01/146592614,,Activator,11.2202,146.596,,43,Partial curve; high efficacy,-4.95,1.2475,1,136.377,-10.2186,2.1,0 0 0 0,114.796,,,,,-8.0038,,,,,3.8375,,,,,,54.1894,,,,114.796,,,QC'd by ChemBridge
3376,49818463,24817398,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001101132-01/146495298,,Activator,7.9433,239.621,,47,Partial curve; high efficacy,-5.1,1.6604,0.9997,226.85,-12.772,2.1,0 0 0 0,216.047,,,,,-11.5919,,,,,7.812,,,,,,118.961,,,,216.047,,,QC'd by ChemBridge
3377,49818532,24817467,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001105216-01/146452421,,Activator,11.2202,175.539,,44,Partial curve; high efficacy,-4.95,4.5045,0.9999,173.382,-2.1568,2.1,0 0 0 0,173.036,,,,,-1.3611,,,,,-3.2665,,,,,,48.3944,,,,173.036,,,QC'd by ChemBridge
3378,49818706,24817633,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001120359-01/146290197,,Activator,7.0795,207.166,,47,Partial curve; high efficacy,-5.15,1.8851,0.9994,203.998,-3.1681,2.1,0 0 0 0,199.998,,,,,-0.1384,,,,,11.0279,,,,,,122.886,,,,199.998,,,QC'd by ChemBridge
3379,49818720,24817643,Active,85,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001120375-01/146444605,,Activator,2.8184,154.384,,85,Complete curve; high efficacy,-5.55,1.7885,1,101.824,-52.5603,1.1,0 0 0 0,100.949,,,,,-48.7916,,,,,-3.5372,,,,,,85.0673,,,,100.949,,,QC'd by ChemBridge
3380,49818830,565232,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001123634-01/146495442,,Activator,10,160.194,,44,Partial curve; high efficacy,-5,4.9549,0.9986,162.638,2.4434,2.1,0 0 0 0,163.291,,,,,0.399,,,,,6.3752,,,,,,64.4369,,,,163.291,,,QC'd by ChemBridge
3381,49818948,1303782,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001124876-01/146494458,,Activator,11.2202,136.127,,43,Partial curve; high efficacy,-4.95,4.095,0.9997,123.395,-12.7318,2.1,0 0 0 0,122.416,,,,,-11.9196,,,,,-14.0208,,,,,,30.4602,,,,122.416,,,QC'd by ChemBridge
3382,49818962,2068180,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001124912-01/146386490,,Activator,12.5893,237.16,,45,Partial curve; high efficacy,-4.9,1.3437,1,257.184,20.024,2.1,0 0 0 0,222.093,,,,,21.8535,,,,,36.4199,,,,,,113.871,,,,222.093,,,QC'd by ChemBridge
3383,49819297,713162,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001124957-01/146493538,,Activator,14.1254,147.755,,43,Partial curve; high efficacy,-4.85,1.4163,0.9995,152.144,4.389,2.1,0 0 0 0,128.718,,,,,3.3171,,,,,13.2925,,,,,,57.141,,,,128.718,,,QC'd by ChemBridge
3384,49819351,24817858,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001126953-01/146633391,,Activator,12.5893,157.119,,43,Partial curve; high efficacy,-4.9,4.095,0.9995,165.786,8.6675,2.1,0 0 0 0,164.471,,,,,9.7286,,,,,6.8806,,,,,,44.8536,,,,164.471,,,QC'd by ChemBridge
3385,49819536,24817911,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001129336-01/146494616,,Activator,12.5893,116.146,,42,Partial curve; high efficacy,-4.9,1.111,0.9999,117.464,1.3184,2.1,0 0 0 0,95.4994,,,,,3.6835,,,,,14.0299,,,,,,49.1996,,,,95.4994,,,QC'd by UrkORgSynthesis Ltd
3386,49819563,8960770,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001129359-01/146476174,,Activator,11.2202,169.433,,44,Partial curve; high efficacy,-4.95,4.095,0.9985,167.331,-2.1019,2.1,0 0 0 0,166.003,,,,,-6.053,,,,,1.0451,,,,,,52.1684,,,,166.003,,,QC'd by UrkORgSynthesis Ltd
3387,49819710,18108555,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001129774-01/146402485,,Activator,6.3096,100.243,,43,Partial curve; high efficacy,-5.2,1.1,0.9998,96.0322,-4.2111,2.1,0 0 0 0,85.5902,,,,,-0.5016,,,,,16.7276,,,,,,56.6691,,,,85.5902,,,QC'd by UrkORgSynthesis Ltd
3388,49819731,9314446,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001129817-01/146494471,,Activator,10,152.754,,44,Partial curve; high efficacy,-5,3.99,0.9994,145.172,-7.582,2.1,0 0 0 0,144.882,,,,,-5.7126,,,,,-9.5353,,,,,,55.5495,,,,144.882,,,QC'd by UrkORgSynthesis Ltd
3389,49819847,18076538,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001141902-01/146539304,,Activator,10,124.337,,43,Partial curve; high efficacy,-5,1.2475,0.9999,123.281,-1.0558,2.1,0 0 0 0,107.015,,,,,1.4311,,,,,12.1021,,,,,,58.3747,,,,107.015,,,QC'd by UrkORgSynthesis Ltd
3390,49820143,4904258,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001141391-01/146346735,,Activator,10,119.1,,43,Partial curve; high efficacy,-5,3.0654,0.9996,118.433,-0.6666,2.1,0 0 0 0,117.493,,,,,-1.5475,,,,,1.4842,,,,,,50.6741,,,,117.493,,,QC'd by InterBioScreen
3391,49820225,6868288,Active,89,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001141018-01/146592051,,Activator,1.2589,124.235,,89,Complete curve; high efficacy,-5.9,2.1211,1,131.147,6.9117,1.1,0 0 0 0,130.885,,,,,15.6894,,,,,92.4117,,,,,,128.91,,,,130.885,,,QC'd by InterBioScreen
3392,49820517,1383288,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001141160-01/146551083,,Activator,6.3096,188.168,,46,Partial curve; high efficacy,-5.2,1.1,0.9999,181.711,-6.4576,2.1,0 0 0 0,163.703,,,,,2.2637,,,,,31.8116,,,,,,106.125,,,,163.703,,,QC'd by InterBioScreen
3393,49820967,3365540,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001142611-01/146592831,,Activator,10,103.005,,43,Partial curve; high efficacy,-5,4.9549,0.9987,104.212,1.207,2.1,0 0 0 0,104.631,,,,,3.4939,,,,,-0.3059,,,,,,41.3975,,,,104.631,,,QC'd by InterBioScreen
3394,49821183,1792243,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001147139-01/146403641,,Activator,8.9125,129.73,,44,Partial curve; high efficacy,-5.05,1.5095,0.9998,135.103,5.3731,2.1,0 0 0 0,125.794,,,,,6.392,,,,,16.3109,,,,,,70.8606,,,,125.794,,,QC'd by Specs
3395,49821193,829895,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001147240-01/146495625,,Activator,12.5893,173.818,,43,Partial curve; high efficacy,-4.9,1.111,0.9994,158.842,-14.9765,2.1,0 0 0 0,126.065,,,,,-12.4804,,,,,5.5198,,,,,,55.9716,,,,126.065,,,QC'd by Specs
3396,49821241,903260,Active,89,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001147394-01/146540066,,Activator,2.8184,181.944,,89,Complete curve; high efficacy,-5.55,1.6259,0.9999,172.905,-9.0394,1.1,0 0 0 0,170.517,,,,,-2.4869,,,,,52.0032,,,,,,150.977,,,,170.517,,,QC'd by Specs
3397,49821292,5412421,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001146558-01/146540232,,Activator,3.5481,184.807,,88,Complete curve; high efficacy,-5.45,1.8079,0.9998,174.564,-10.243,1.1,0 0 0 0,171.141,,,,,-7.0509,,,,,33.0189,,,,,,148.146,,,,171.141,,,QC'd by Specs
3398,49821690,6166601,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001147672-01/146494501,,Activator,10,113.651,,43,Partial curve; high efficacy,-5,3.132,0.9995,111.623,-2.0277,2.1,0 0 0 0,111.4,,,,,-2.6401,,,,,-0.0496,,,,,,46.4517,,,,111.4,,,QC'd by Specs
3399,49821826,6465157,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001162147-01/146494496,,Activator,10,112.014,,43,Partial curve; high efficacy,-5,4.4495,0.9995,113.308,1.2942,2.1,0 0 0 0,113.082,,,,,2.4953,,,,,-0.3393,,,,,,47.4538,,,,113.082,,,QC'd by ChemBridge
3400,49821831,6459253,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001162154-01/146495373,,Activator,10,140.921,,43,Partial curve; high efficacy,-5,1.6259,0.9999,134.063,-6.8579,2.1,0 0 0 0,123.447,,,,,-6.8003,,,,,2.0815,,,,,,59.123,,,,123.447,,,QC'd by ChemBridge
3401,49821905,24687552,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001151108-01/146539502,,Activator,12.5893,221.796,,44,Partial curve; high efficacy,-4.9,4.095,0.9991,179.128,-42.6677,2.1,0 0 0 0,178.091,,,,,-38.1298,,,,,-45.819,,,,,,5.5339,,,,178.091,,,QC'd by UrkORgSynthesis Ltd
3402,49821988,6889059,Active,42,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001146570-01/146452629,,Activator,11.2202,105.971,,42,Partial curve; high efficacy,-4.95,4.095,0.9992,104.235,-1.7361,2.1,0 0 0 0,104.027,,,,,-3.6909,,,,,-0.3176,,,,,,31.1733,,,,104.027,,,QC'd by InterBioScreen
3403,49822093,6888625,Active,46,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001146640-01/146593318,,Activator,8.9125,218.949,,46,Partial curve; high efficacy,-5.05,2.3332,0.9992,215.865,-3.0835,2.1,0 0 0 0,212.885,,,,,0,,,,,-0.789,,,,,,108.857,,,,212.885,,,QC'd by InterBioScreen
3404,49822193,24686777,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001151195-01/146539772,,Activator,11.2202,236.666,,45,Partial curve; high efficacy,-4.95,1.01,0.9997,226.371,-10.2955,2.1,0 0 0 0,181.387,,,,,-3.1959,,,,,23.3505,,,,,,94.254,,,,181.387,,,QC'd by UrkORgSynthesis Ltd
3405,49822250,24684666,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001149191-01/146494658,,Activator,11.2202,124.621,,43,Partial curve; high efficacy,-4.95,4.9549,0.9996,113.707,-10.9134,2.1,0 0 0 0,114.164,,,,,-9.8554,,,,,-10.6547,,,,,,21.5627,,,,114.164,,,QC'd by UrkORgSynthesis Ltd
3406,49822272,7680804,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001150180-01/146539423,,Activator,6.3096,206.758,,47,Partial curve; high efficacy,-5.2,1.331,0.9995,214.179,7.4207,2.1,0 0 0 0,198.314,,,,,12.7966,,,,,39.9961,,,,,,138.516,,,,198.314,,,QC'd by UrkORgSynthesis Ltd
3407,49822280,9105528,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001150192-01/146539597,,Activator,5.0119,163.375,,87,Complete curve; high efficacy,-5.3,1.9282,1,170.592,7.2172,1.1,0 0 0 0,168.237,,,,,7.8553,,,,,28.521,,,,,,131.909,,,,168.237,,,QC'd by UrkORgSynthesis Ltd
3408,49822296,17173256,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001151235-01/146539689,,Activator,8.9125,195.423,,45,Partial curve; high efficacy,-5.05,0.8,0.9998,198.243,2.8192,2.1,0 0 0 0,157.335,,,,,16.3775,,,,,47.3472,,,,,,101.479,,,,157.335,,,QC'd by UrkORgSynthesis Ltd
3409,49822303,8487428,Active,45,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001151246-01/146342659,,Activator,8.9125,182.844,,45,Partial curve; high efficacy,-5.05,1.7885,0.9997,179.649,-3.1957,2.1,0 0 0 0,171.094,,,,,-1.9421,,,,,7.4267,,,,,,88.8185,,,,171.094,,,QC'd by UrkORgSynthesis Ltd
3410,49822324,24687762,Active,47,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001156457-01/146495525,,Activator,4.4668,162.647,,47,Partial curve; high efficacy,-5.35,1.031,0.9994,157.014,-5.6331,2.1,0 0 0 0,146.196,,,,,5.3684,,,,,41.3068,,,,,,104.846,,,,146.196,,,QC'd by UrkORgSynthesis Ltd
3411,49822333,3883061,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001157670-01/146494353,,Activator,3.9811,180.371,,88,Complete curve; high efficacy,-5.4,1.5936,0.9998,176.526,-3.8453,1.1,0 0 0 0,172.053,,,,,-1.0408,,,,,38.3142,,,,,,138.987,,,,172.053,,,QC'd by UrkORgSynthesis Ltd
3412,49822614,2996500,Active,88,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001162466-01/146342265,,Activator,3.9811,167.916,,88,Complete curve; high efficacy,-5.4,1.2475,0.9998,171.705,3.7893,1.1,0 0 0 0,163.528,,,,,11.9561,,,,,50.4418,,,,,,129.613,,,,163.528,,,QC'd by ChemBridge
3413,49822843,4838500,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001158271-01/146560204,,Activator,6.3096,110.464,,43,Partial curve; high efficacy,-5.2,1.3723,0.9999,89.8845,-20.5795,2.1,0 0 0 0,83.2895,,,,,-18.852,,,,,-3.0844,,,,,,48.9079,,,,83.2895,,,QC'd by InterBioScreen
3414,49822967,17578001,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001158966-01/146592625,,Activator,11.2202,103.502,,43,Partial curve; high efficacy,-4.95,4.095,0.9995,111.877,8.3749,2.1,0 0 0 0,111.653,,,,,6.9671,,,,,9.5894,,,,,,40.288,,,,111.653,,,QC'd by InterBioScreen
3415,49823080,8070290,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001160461-01/146347562,,Activator,7.9433,143.994,,44,Partial curve; high efficacy,-5.1,1.8851,0.9994,142.219,-1.7746,2.1,0 0 0 0,136.225,,,,,-1.4788,,,,,6.5111,,,,,,82.7644,,,,136.225,,,QC'd by InterBioScreen
3416,49823229,9038315,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001150097-01/146493486,,Activator,7.9433,103.055,,43,Partial curve; high efficacy,-5.1,1.8851,0.9987,108.683,5.6278,2.1,0 0 0 0,104.704,,,,,7.2605,,,,,9.5774,,,,,,65.6805,,,,104.704,,,QC'd by UrkORgSynthesis Ltd
3417,49823242,17453466,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001150125-01/146496178,,Activator,12.5893,179.887,,44,Partial curve; high efficacy,-4.9,1.2216,0.9999,177.678,-2.2083,2.1,0 0 0 0,148.065,,,,,0.8441,,,,,13.3264,,,,,,70.9626,,,,148.065,,,QC'd by UrkORgSynthesis Ltd
3418,49823269,6461311,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001162082-01/146494454,,Activator,1.7783,114.228,,87,Complete curve; high efficacy,-5.75,1.6266,0.9995,116.809,2.5811,1.1,0 0 0 0,114.518,,,,,11.2756,,,,,60.8509,,,,,,110.136,,,,114.518,,,QC'd by ChemBridge
3419,49823421,17379694,Active,87,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001223784-01/146402749,,Activator,2.8184,137.173,,87,Complete curve; high efficacy,-5.55,1.8851,0.9995,140.513,3.3402,1.1,0 0 0 0,138.573,,,,,4.9655,,,,,47.4342,,,,,,127.193,,,,138.573,,,QC'd by ChemT & I Ltd.
3420,49823443,6464671,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001223817-01/146539635,,Activator,10,161.129,,44,Partial curve; high efficacy,-5,0.9,0.9997,158.081,-3.0484,2.1,0 0 0 0,126.061,,,,,4.1261,,,,,26.625,,,,,,73.6343,,,,126.061,,,QC'd by ChemT & I Ltd.
3421,49823444,6465186,Active,48,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001223818-01/146403610,,Activator,3.5481,183.302,,48,Partial curve; high efficacy,-5.45,1.01,1,173.33,-9.9725,2.1,0 0 0 0,160.49,,,,,7.0682,,,,,51.8896,,,,,,123.376,,,,160.49,,,QC'd by ChemT & I Ltd.
3422,49823452,3567933,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001223829-01/146495336,,Activator,11.2202,124.841,,43,Partial curve; high efficacy,-4.95,4.095,1,127.963,3.1219,2.1,0 0 0 0,127.708,,,,,2.831,,,,,3.3239,,,,,,41.2367,,,,127.708,,,QC'd by ChemT & I Ltd.
3423,49823470,25237600,Active,85,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224818-01/146379189,,Activator,5.0119,114.695,,85,Complete curve; high efficacy,-5.3,2.3531,0.9998,137.476,22.7819,1.1,0 0 0 0,136.385,,,,,22.4759,,,,,32.7114,,,,,,116.78,,,,136.385,,,QC'd by ChemT & I Ltd.
3424,49823477,2955683,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224697-01/146539690,,Activator,11.2202,123.225,,43,Partial curve; high efficacy,-4.95,4.095,0.9994,118.341,-4.8835,2.1,0 0 0 0,118.105,,,,,-2.7768,,,,,-6.1403,,,,,,33.0807,,,,118.105,,,QC'd by ChemT & I Ltd.
3425,49823480,971626,Active,86,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224702-01/146539816,,Activator,3.9811,131.744,,86,Complete curve; high efficacy,-5.4,1.8079,1,131.1,-0.6438,1.1,0 0 0 0,129.29,,,,,0.5393,,,,,25.8337,,,,,,107.515,,,,129.29,,,QC'd by ChemT & I Ltd.
3426,49823482,23960495,Active,44,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224705-01/146493873,,Activator,10,158.504,,44,Partial curve; high efficacy,-5,4.9549,0.9987,155.929,-2.5748,2.1,0 0 0 0,157.504,,,,,-0.0736,,,,,-2.1457,,,,,,57.4575,,,,157.504,,,QC'd by ChemT & I Ltd.
3427,49823489,17421534,Active,43,http://assay.nih.gov/htsws/rest/display/brca1-p1/MLS001224716-01/146493969,,Activator,10,138.566,,43,Partial curve; high efficacy,-5,4.9549,0.9987,139.743,1.1766,2.1,0 0 0 0,140.304,,,,,4.196,,,,,-1.3809,,,,,,55.6102,,,,140.304,,,QC'd by ChemT & I Ltd.
